"Property prices in housing market by prices of completed transactions,"
"time, postal code and property category"

" ";" ";" ";"Detached/terraced house";"Owner-occupied flat";"Holiday home"
"Initial listing price"
" ";"2023Q1"
" ";" ";"6000 Kolding";15250;23129;..
" ";" ";"6040 Egtved";10256;..;..
" ";" ";"6051 Almind";..;..;..
" ";" ";"6052 Viuf";..;..;..
" ";" ";"6064 Jordrup";..;..;..
" ";" ";"6070 Christiansfeld";..;..;..
" ";" ";"6091 Bjert";..;..;..
" ";" ";"6092 Sønder Stenderup";..;..;..
" ";" ";"6093 Sjølund";..;..;..
" ";" ";"6094 Hejls";..;..;..
" ";" ";"6100 Haderslev";10933;..;21795
" ";" ";"6210 Barsø";0;0;0
" ";" ";"6200 Aabenraa";8616;..;..
" ";" ";"6230 Rødekro";7609;..;..
" ";" ";"6240 Løgumkloster";6257;..;..
" ";" ";"6261 Bredebro";..;..;..
" ";" ";"6270 Tønder";6679;..;..
" ";" ";"6280 Højer";..;..;..
" ";" ";"6300 Gråsten";7179;..;..
" ";" ";"6310 Broager";..;..;..
" ";" ";"6320 Egernsund";..;..;..
" ";" ";"6330 Padborg";6653;..;..
" ";" ";"6340 Kruså";12200;..;..
" ";" ";"6360 Tinglev";..;..;..
" ";" ";"6372 Bylderup-Bov";..;..;..
" ";" ";"6392 Bolderslev";..;..;..
" ";" ";"6400 Sønderborg";10506;..;..
" ";" ";"6430 Nordborg";5940;..;..
" ";" ";"6440 Augustenborg";6639;..;..
" ";" ";"6470 Sydals";10050;..;17901
" ";" ";"6500 Vojens";6205;..;..
" ";" ";"6510 Gram";4841;..;..
" ";" ";"6520 Toftlund";4403;..;..
" ";" ";"6534 Agerskov";..;..;..
" ";" ";"6535 Branderup J";..;..;..
" ";" ";"6541 Bevtoft";..;..;..
" ";" ";"6560 Sommersted";..;..;..
" ";" ";"6580 Vamdrup";10929;..;..
" ";" ";"6600 Vejen";11070;..;..
" ";" ";"6621 Gesten";..;..;..
" ";" ";"6622 Bække";..;..;..
" ";" ";"6623 Vorbasse";..;..;..
" ";" ";"6630 Rødding";6128;..;..
" ";" ";"6640 Lunderskov";11926;..;..
" ";" ";"6650 Brørup";9842;..;..
" ";" ";"6660 Lintrup";..;..;..
" ";" ";"6670 Holsted";..;..;..
" ";" ";"6682 Hovborg";..;..;..
" ";" ";"6683 Føvling";..;..;..
" ";" ";"6690 Gørding";..;..;..
" ";" ";"6700 Esbjerg";20184;18366;..
" ";" ";"6705 Esbjerg Ø";14761;..;..
" ";" ";"6710 Esbjerg V";16727;..;..
" ";" ";"6715 Esbjerg N";15366;..;..
" ";" ";"6720 Fanø";16284;..;27434
" ";" ";"6731 Tjæreborg";..;..;..
" ";" ";"6740 Bramming";10174;..;..
" ";" ";"6752 Glejbjerg";..;..;..
" ";" ";"6753 Agerbæk";..;..;..
" ";" ";"6760 Ribe";11128;..;..
" ";" ";"6771 Gredstedbro";..;..;..
" ";" ";"6780 Skærbæk";5826;..;..
" ";" ";"6792 Rømø";..;8790;19975
" ";" ";"6800 Varde";9966;..;..
" ";" ";"6818 Årre";..;..;..
" ";" ";"6823 Ansager";..;..;..
" ";" ";"6830 Nørre Nebel";..;..;17877
" ";" ";"6840 Oksbøl";..;..;13647
" ";" ";"6851 Janderup Vestj";..;..;..
" ";" ";"6852 Billum";..;..;..
" ";" ";"6853 Vejers Strand";..;..;..
" ";" ";"6854 Henne";..;..;30329
" ";" ";"6855 Outrup";..;..;..
" ";" ";"6857 Blåvand";..;..;28028
" ";" ";"6862 Tistrup";..;..;..
" ";" ";"6870 Ølgod";4836;..;..
" ";" ";"6880 Tarm";7377;..;..
" ";" ";"6893 Hemmet";..;..;14128
" ";" ";"6900 Skjern";7801;..;..
" ";" ";"6920 Videbæk";7484;..;..
" ";" ";"6933 Kibæk";..;..;..
" ";" ";"6940 Lem St";..;..;..
" ";" ";"6950 Ringkøbing";8910;..;21115
" ";" ";"6960 Hvide Sande";..;..;21529
" ";" ";"6971 Spjald";..;..;..
" ";" ";"6973 Ørnhøj";..;..;..
" ";" ";"6980 Tim";..;..;..
" ";" ";"6990 Ulfborg";6740;..;14396
" ";" ";"7000 Fredericia";13087;13163;..
" ";" ";"7080 Børkop";12969;..;25003
" ";" ";"7100 Vejle";15396;18190;..
" ";" ";"7120 Vejle Øst";20177;..;..
" ";" ";"7130 Juelsminde";7802;..;26306
" ";" ";"7140 Stouby";..;..;..
" ";" ";"7150 Barrit";..;..;..
" ";" ";"7160 Tørring";9023;..;..
" ";" ";"7171 Uldum";..;..;..
" ";" ";"7173 Vonge";..;..;..
" ";" ";"7182 Bredsten";9246;..;..
" ";" ";"7183 Randbøl";..;..;..
" ";" ";"7184 Vandel";..;..;..
" ";" ";"7190 Billund";14587;..;22540
" ";" ";"7200 Grindsted";9250;..;..
" ";" ";"7250 Hejnsvig";..;..;..
" ";" ";"7260 Sønder Omme";..;..;..
" ";" ";"7270 Stakroge";..;..;..
" ";" ";"7280 Sønder Felding";..;..;..
" ";" ";"7300 Jelling";12475;..;..
" ";" ";"7321 Gadbjerg";..;..;..
" ";" ";"7323 Give";9457;..;..
" ";" ";"7330 Brande";12064;..;..
" ";" ";"7361 Ejstrupholm";..;..;..
" ";" ";"7362 Hampen";..;..;..
" ";" ";"7400 Herning";13380;17677;..
" ";" ";"7430 Ikast";10571;..;..
